id;ano;mes;dia;dia_semana;hora;aisp;municipio;bairro;latitude;longitude;natureza;idade;f_etaria;sexo;raca_cor;orientacao_sexual;id_vitima;populacao
20259201;2025;1;3;5;10;02 AISP - Sao Jose dos Pinhais;MANDIRITUBA;MANDIRITUBA;-25,75962061;-49,3227826;Praticar Homicidio Culposo na Direcao de Veiculo;62 anos;60+ (Idoso);Masculino;Nao Informado;Nao Informado;18766;27434
202510708;2025;1;3;5;18;15 AISP - Umuarama;IVATE;ZONA RURAL;-23,40958887;-53,37387941;Crimes Violentos Letais Intencionais (CVLI);33 anos;25 ~ 59 anos (Adulto);Masculino;Nao Informado;Heterossexual;34277;6831
202510708;2025;1;3;5;18;15 AISP - Umuarama;IVATE;ZONA RURAL;-23,40958887;-53,37387941;Homicidio Doloso (homicidio simples e qualificado e homicidio doloso no transito);33 anos;25 ~ 59 anos (Adulto);Masculino;Nao Informado;Heterossexual;11197;6831
202511291;2025;1;3;5;20;14 AISP - Campo Mourao;CAMPO MOURAO;ZONA RURAL;-24,0412232;-52,38111509;Praticar Homicidio Culposo na Direcao de Veiculo;41 anos;25 ~ 59 anos (Adulto);Masculino;Parda;Nao Informado;18954;99432
202511124;2025;1;3;5;22;03 AISP - Paranagu ;PARANAGUA;JOAO GUALBERTO;-25,5068415;-48,52473284;Crimes Violentos Letais Intencionais (CVLI);62 anos;60+ (Idoso);Masculino;Nao Informado;Nao Informado;33979;145829
202511124;2025;1;3;5;22;03 AISP - Paranagu ;PARANAGUA;JOAO GUALBERTO;-25,5068415;-48,52473284;Homicidio Doloso (homicidio simples e qualificado e homicidio doloso no transito);62 anos;60+ (Idoso);Masculino;Nao Informado;Nao Informado;10941;145829
202511268;2025;1;4;6;1;13 AISP - Toledo;TOLEDO;INDEPENDENCIA;-24,732077;-53,74141149;Praticar Homicidio Culposo na Direcao de Veiculo;46 anos;25 ~ 59 anos (Adulto);Masculino;Parda;Nao Informado;18939;150470
202511668;2025;1;4;6;2;15 AISP - Umuarama;UMUARAMA;JD IMPERIO DO SOL I;-23,76395;-53,3084598;Crimes Violentos Letais Intencionais (CVLI);66 anos;60+ (Idoso);Masculino;Branca;Nao Informado;34141;117095
202511668;2025;1;4;6;2;15 AISP - Umuarama;UMUARAMA;JD IMPERIO DO SOL I;-23,76395;-53,3084598;Homicidio Doloso (homicidio simples e qualificado e homicidio doloso no transito);66 anos;60+ (Idoso);Masculino;Branca;Nao Informado;11079;117095
202511647;2025;1;4;6;3;01 AISP - Curitiba;CURITIBA;PINHEIRINHO;-25,432956;-49,27184789;Crimes Violentos Letais Intencionais (CVLI);69 anos;60+ (Idoso);Masculino;Branca;Heterossexual;34178;1773733
202511647;2025;1;4;6;3;01 AISP - Curitiba;CURITIBA;PINHEIRINHO;-25,432956;-49,27184789;Homicidio Doloso (homicidio simples e qualificado e homicidio doloso no transito);69 anos;60+ (Idoso);Masculino;Branca;Heterossexual;11111;1773733
202512604;2025;1;4;6;7;19 AISP - Rolandia;ROLANDIA;CONJUNTO MANOEL MULL;-23,31359249;-51,36278036;Praticar Homicidio Culposo na Direcao de Veiculo;23 anos;15 ~ 24 anos (Jovem);Masculino;Parda;Nao Informado;18982;71670
202512846;2025;1;4;6;12;02 AISP - Sao Jose dos Pinhais;PIRAQUARA;GUARITUBA;-25,44655036;-49,06530561;Crimes Violentos Letais Intencionais (CVLI);24 anos;15 ~ 24 anos (Jovem);Masculino;Branca;Nao Informado;34243;118730
202512846;2025;1;4;6;12;02 AISP - Sao Jose dos Pinhais;PIRAQUARA;GUARITUBA;-25,44655036;-49,06530561;Homicidio Doloso (homicidio simples e qualificado e homicidio doloso no transito);24 anos;15 ~ 24 anos (Jovem);Masculino;Branca;Nao Informado;11168;118730
202513180;2025;1;4;6;15;11 AISP - Cascavel;CASCAVEL;INTERLAGOS;-24,9537975;-53,45972218;Crimes Violentos Letais Intencionais (CVLI);38 anos;25 ~ 59 anos (Adulto);Masculino;Branca;Nao Informado;34491;348051
202513180;2025;1;4;6;15;11 AISP - Cascavel;CASCAVEL;INTERLAGOS;-24,9537975;-53,45972218;Homicidio Doloso (homicidio simples e qualificado e homicidio doloso no transito);38 anos;25 ~ 59 anos (Adulto);Masculino;Branca;Nao Informado;11384;348051
202514445;2025;1;5;7;2;23 AISP - Jacarezinho;CONSELHEIRO MAIRINCK;TAMAND;-23,62156171;-50,171773;Praticar Homicidio Culposo na Direcao de Veiculo;63 anos;60+ (Idoso);Masculino;Branca;Nao Informado;19002;3461
202514517;2025;1;5;7;3;10 AISP - Francisco Beltrao;REALEZA;CENTRO;-25,76257995;-53,53257436;Praticar Homicidio Culposo na Direcao de Veiculo;12 anos;0 ~ 14 anos (Crian‡a);Masculino;Nao Informado;Nao Informado;18799;19247
202514517;2025;1;5;7;3;10 AISP - Francisco Beltrao;REALEZA;CENTRO;-25,76257995;-53,53257436;Praticar Homicidio Culposo na Direcao de Veiculo;12 anos;0 ~ 14 anos (Crian‡a);Masculino;Nao Informado;Nao Informado;18839;19247
202515284;2025;1;5;7;5;23 AISP - Jacarezinho;CARLOPOLIS;CENTRO;-23,42772393;-49,71872353;Crimes Violentos Letais Intencionais (CVLI);19 anos;15 ~ 24 anos (Jovem);Masculino;Branca;Nao Informado;34439;16905
202515284;2025;1;5;7;5;23 AISP - Jacarezinho;CARLOPOLIS;CENTRO;-23,42772393;-49,71872353;Homicidio Doloso (homicidio simples e qualificado e homicidio doloso no transito);19 anos;15 ~ 24 anos (Jovem);Masculino;Branca;Nao Informado;11339;16905
202583059;2025;1;5;7;12;04 AISP - Ponta Grossa;PALMEIRA;ZONA RURAL;-25,4185679;-50,00324682;Praticar Homicidio Culposo na Direcao de Veiculo;44 anos;25 ~ 59 anos (Adulto);Feminino;Nao Informado;Nao Informado;18793;33855
202583059;2025;1;5;7;12;04 AISP - Ponta Grossa;PALMEIRA;ZONA RURAL;-25,4185679;-50,00324682;Praticar Homicidio Culposo na Direcao de Veiculo;48 anos;25 ~ 59 anos (Adulto);Masculino;Nao Informado;Nao Informado;19191;33855
202516234;2025;1;5;7;15;11 AISP - Cascavel;CASCAVEL;FLORESTA;-24,9537975;-53,45972218;Praticar Homicidio Culposo na Direcao de Veiculo;25 anos;25 ~ 59 anos (Adulto);Masculino;Parda;Heterossexual;18894;348051
202516234;2025;1;5;7;15;11 AISP - Cascavel;CASCAVEL;FLORESTA;-24,9537975;-53,45972218;Praticar Homicidio Culposo na Direcao de Veiculo;30 anos;25 ~ 59 anos (Adulto);Masculino;Parda;Heterossexual;18735;348051
202516038;2025;1;5;7;16;01 AISP - Curitiba;CURITIBA;SITIO CERCADO;-25,432956;-49,27184789;Crimes Violentos Letais Intencionais (CVLI);33 anos;25 ~ 59 anos (Adulto);Masculino;Branca;Heterossexual;34313;1773733
202516038;2025;1;5;7;16;01 AISP - Curitiba;CURITIBA;SITIO CERCADO;-25,432956;-49,27184789;Homicidio Doloso (homicidio simples e qualificado e homicidio doloso no transito);33 anos;25 ~ 59 anos (Adulto);Masculino;Branca;Heterossexual;11230;1773733
202516526;2025;1;5;7;21;01 AISP - Curitiba;CURITIBA;PRADO VELHO;-25,432956;-49,27184789;Crimes Violentos Letais Intencionais (CVLI);23 anos;15 ~ 24 anos (Jovem);Masculino;Preta;Heterossexual;34415;1773733
202516526;2025;1;5;7;21;01 AISP - Curitiba;CURITIBA;PRADO VELHO;-25,432956;-49,27184789;Homicidio Doloso (homicidio simples e qualificado e homicidio doloso no transito);23 anos;15 ~ 24 anos (Jovem);Masculino;Preta;Heterossexual;11318;1773733
202517096;2025;1;5;7;21;02 AISP - Sao Jose dos Pinhais;ARAUCARIA;CAPELA VELHA;-25,591645;-49,4019397;Crimes Violentos Letais Intencionais (CVLI);56 anos;25 ~ 59 anos (Adulto);Masculino;Branca;Nao Informado;34462;151666
202517096;2025;1;5;7;21;02 AISP - Sao Jose dos Pinhais;ARAUCARIA;CAPELA VELHA;-25,591645;-49,4019397;Homicidio Doloso (homicidio simples e qualificado e homicidio doloso no transito);56 anos;25 ~ 59 anos (Adulto);Masculino;Branca;Nao Informado;11355;151666
202516964;2025;1;5;7;21;13 AISP - Toledo;GUAIRA;HIGIENOPOLIS;-24,08527548;-54,24675772;Crimes Violentos Letais Intencionais (CVLI);Nao Informado;Nao Informado;Masculino;Branca;Heterossexual;34027;32097
202516964;2025;1;5;7;21;13 AISP - Toledo;GUAIRA;HIGIENOPOLIS;-24,08527548;-54,24675772;Crimes Violentos Letais Intencionais (CVLI);31 anos;25 ~ 59 anos (Adulto);Feminino;Branca;Heterossexual;33785;32097
202516964;2025;1;5;7;21;13 AISP - Toledo;GUAIRA;HIGIENOPOLIS;-24,08527548;-54,24675772;Feminicidio;31 anos;25 ~ 59 anos (Adulto);Feminino;Branca;Heterossexual;11992;32097
202516964;2025;1;5;7;21;13 AISP - Toledo;GUAIRA;HIGIENOPOLIS;-24,08527548;-54,24675772;Homicidio Doloso (homicidio simples e qualificado e homicidio doloso no transito);Nao Informado;Nao Informado;Masculino;Branca;Heterossexual;10988;32097
202516751;2025;1;5;7;22;19 AISP - Rolandia;JAGUAPITA;VILA RURAL;-23,11778276;-51,54061685;Crimes Violentos Letais Intencionais (CVLI);37 anos;25 ~ 59 anos (Adulto);Masculino;Branca;Nao Informado;33798;15122
202516751;2025;1;5;7;22;19 AISP - Rolandia;JAGUAPITA;VILA RURAL;-23,11778276;-51,54061685;Crimes Violentos Letais Intencionais (CVLI);50 anos;25 ~ 59 anos (Adulto);Masculino;Branca;Nao Informado;33877;15122
202516751;2025;1;5;7;22;19 AISP - Rolandia;JAGUAPITA;VILA RURAL;-23,11778276;-51,54061685;Homicidio Doloso (homicidio simples e qualificado e homicidio doloso no transito);37 anos;25 ~ 59 anos (Adulto);Masculino;Branca;Nao Informado;10784;15122
202516751;2025;1;5;7;22;19 AISP - Rolandia;JAGUAPITA;VILA RURAL;-23,11778276;-51,54061685;Homicidio Doloso (homicidio simples e qualificado e homicidio doloso no transito);50 anos;25 ~ 59 anos (Adulto);Masculino;Branca;Nao Informado;10850;15122
202518014;2025;1;5;7;23;02 AISP - Sao Jose dos Pinhais;CAMPO LARGO;CENTRO;-25,4594905;-49,52884145;Praticar Homicidio Culposo na Direcao de Veiculo;59 anos;25 ~ 59 anos (Adulto);Masculino;Nao Informado;Nao Informado;19016;136327
202518410;2025;1;6;1;8;21 AISP - Cornelio Procopio;SAO JERONIMO DA SERRA;CENTRO;-23,7234034;-50,73848043;Crimes Violentos Letais Intencionais (CVLI);28 anos;25 ~ 59 anos (Adulto);Feminino;Parda;Nao Informado;33816;10830
202518410;2025;1;6;1;8;21 AISP - Cornelio Procopio;SAO JERONIMO DA SERRA;CENTRO;-23,7234034;-50,73848043;Feminicidio;28 anos;25 ~ 59 anos (Adulto);Feminino;Parda;Nao Informado;11994;10830
202521332;2025;1;6;1;11;07 AISP - Guarapuava;GUARAPUAVA;INDUSTRIAL;-25,39359198;-51,46343108;Crimes Violentos Letais Intencionais (CVLI);25 anos;25 ~ 59 anos (Adulto);Masculino;Parda;Nao Informado;34120;182093
202521332;2025;1;6;1;11;07 AISP - Guarapuava;GUARAPUAVA;INDUSTRIAL;-25,39359198;-51,46343108;Homicidio Doloso (homicidio simples e qualificado e homicidio doloso no transito);25 anos;25 ~ 59 anos (Adulto);Masculino;Parda;Nao Informado;11061;182093
202519505;2025;1;6;1;12;11 AISP - Cascavel;CASCAVEL;CENTRO;-24,9537975;-53,45972218;Crimes Violentos Letais Intencionais (CVLI);27 anos;25 ~ 59 anos (Adulto);Masculino;Preta;Nao Informado;34536;348051
202519505;2025;1;6;1;12;11 AISP - Cascavel;CASCAVEL;CENTRO;-24,9537975;-53,45972218;Homicidio Doloso (homicidio simples e qualificado e homicidio doloso no transito);27 anos;25 ~ 59 anos (Adulto);Masculino;Preta;Nao Informado;11416;348051
202522720;2025;1;6;1;19;13 AISP - Toledo;PATO BRAGADO;CENTRO;-24,62564401;-54,23139574;Crimes Violentos Letais Intencionais (CVLI);40 anos;25 ~ 59 anos (Adulto);Masculino;Parda;Nao Informado;33859;5733
202522720;2025;1;6;1;19;13 AISP - Toledo;PATO BRAGADO;CENTRO;-24,62564401;-54,23139574;Homicidio Doloso (homicidio simples e qualificado e homicidio doloso no transito);40 anos;25 ~ 59 anos (Adulto);Masculino;Parda;Nao Informado;10833;5733
202522857;2025;1;7;2;0;14 AISP - Campo Mourao;CAMPO MOURAO;JD TROPICAL I;-24,0412232;-52,38111509;Crimes Violentos Letais Intencionais (CVLI);30 anos;25 ~ 59 anos (Adulto);Masculino;Branca;Nao Informado;33942;99432
202522857;2025;1;7;2;0;14 AISP - Campo Mourao;CAMPO MOURAO;JD TROPICAL I;-24,0412232;-52,38111509;Homicidio Doloso (homicidio simples e qualificado e homicidio doloso no transito);30 anos;25 ~ 59 anos (Adulto);Masculino;Branca;Nao Informado;10906;99432
202522735;2025;1;7;2;2;03 AISP - Paranagu ;GUARATUBA;BAL BARRA DO SAI;-25,87424198;-48,57572596;Morte por Intervencao Legal de Agente do Estado - MILAE;28 anos;25 ~ 59 anos (Adulto);Masculino;Branca;Nao Informado;21530;42062
202522982;2025;1;7;2;10;04 AISP - Ponta Grossa;PALMEIRA;BR 277;-25,4185679;-50,00324682;Crimes Violentos Letais Intencionais (CVLI);30 anos;25 ~ 59 anos (Adulto);Feminino;Parda;Nao Informado;34570;33855
202522982;2025;1;7;2;10;04 AISP - Ponta Grossa;PALMEIRA;BR 277;-25,4185679;-50,00324682;Feminicidio;30 anos;25 ~ 59 anos (Adulto);Feminino;Parda;Nao Informado;12047;33855
202525565;2025;1;7;2;14;11 AISP - Cascavel;CASCAVEL;CASCAVEL VELHO;-24,9537975;-53,45972218;Crimes Violentos Letais Intencionais (CVLI);28 anos;25 ~ 59 anos (Adulto);Masculino;Branca;Nao Informado;33935;348051
202525565;2025;1;7;2;14;11 AISP - Cascavel;CASCAVEL;CASCAVEL VELHO;-24,9537975;-53,45972218;Homicidio Doloso (homicidio simples e qualificado e homicidio doloso no transito);28 anos;25 ~ 59 anos (Adulto);Masculino;Branca;Nao Informado;10900;348051
202527960;2025;1;7;2;21;11 AISP - Cascavel;MATELANDIA;AGRO CAFEEIRA;-25,23792101;-53,97438734;Crimes Violentos Letais Intencionais (CVLI);27 anos;25 ~ 59 anos (Adulto);Masculino;Parda;Nao Informado;33890;18450
202527960;2025;1;7;2;21;11 AISP - Cascavel;MATELANDIA;AGRO CAFEEIRA;-25,23792101;-53,97438734;Homicidio Doloso (homicidio simples e qualificado e homicidio doloso no transito);27 anos;25 ~ 59 anos (Adulto);Masculino;Parda;Nao Informado;10863;18450
